0,0,0,0,0,4,0,4,0,0,0,18,0,22,24&16&1,24&26&9,2,24&20&2,24&20&2,24&20&2,24&20&2,2,17,1,1,1,1,0,0,0,1,12&36&5,25,25,25,25,25,25,25,25,
0,5,0,0,0,0,0,0,0,0,0,0,4,0,25,25,2,24&21&2,23,0,24&18&2,2,0,0,0,0,0,0,0,0,1,25,25,25,25,25,2,0,2,1,
0,0,0,0,0,0,0,0,0,1,24&13&26,0,0,22,2,2,0,0,2,2,0,0,2,2,4,4,0,0,1,0,1,1,1,1,1,1,2,24&40&6,0,0,
1,1,1,0,0,0,0,0,0,0,19,24&13&26,0,18,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,
1,24&15&1,0,0,0,1,1,0,0,0,0,19,2,2,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,24&16&2,0,0,0,
1,0,1,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,18,0,0,25,19,1,1,1,1,1,1,4,24&38&3,
1,0,1,0,0,0,4,0,0,1,1,0,24&13&26,24&13&26,0,0,0,0,0,0,0,0,0,0,24&14&26,24&14&26,4,4,4,0,0,0,0,0,0,0,0,1,4,0,
1,0,1,1,0,0,0,0,0,0,0,0,24&13&26,24&13&26,7,0,1,0,0,0,0,1,0,0,24&14&26,24&14&26,0,0,0,0,0,0,0,0,0,0,0,1,4,0,
1,0,1,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,7,0,0,1,0,0,0,0,0,1,4,0,
1,0,1,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,12&25&12,4,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,
1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,24&12&1,24&19&11,1,0,2,2,20,0,2,2,0,0,0,0,0,0,0,1,1,1,0,0,
1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,12&23&14,2,2,0,0,0,1,1,1,0,0,0,0,0,1,
1,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,2,2,1,19,2,2,0,0,2,2,4,0,0,0,0,1,0,0,0,0,0,4,0,4,
1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,2,2,0,12&22&16,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,12&15&18,0,0,1,24&20&11,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,
1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,12&13&20,2,2,0,0,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,
1,0,1,0,1,1,1,1,0,0,2,2,0,0,2,2,2,2,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,
1,0,1,0,0,0,0,1,0,0,2,2,0,12&15&22,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,
1,0,1,0,0,0,0,1,0,0,2,2,2,2,0,0,2,2,0,0,2,2,0,4,4,4,4,4,0,1,1,1,1,1,1,1,1,1,0,1,
1,0,1,0,1,0,0,1,0,0,2,2,2,2,0,12&17&23,2,2,0,12&21&28,2,16,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,
1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,12&19&22,2,2,12&19&22,12&23&16,2,2,4,4,4,4,4,0,0,0,1,0,0,0,0,4,0,1,
1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,21,0,2,2,0,24&21&16,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,
1,0,1,0,0,0,1,0,1,0,1,20,19,1,24&19&2,24&19&2,0,19,2,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
1,0,1,0,0,0,0,0,0,0,0,20,23,0,24&19&2,24&19&2,0,0,2,2,20,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,2,2,2,2,20,0,2,2,0,0,1,0,0,0,0,0,0,1,1,1,1,4,0,1,
1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,2,2,2,2,24&22&24,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,22,4,4,
1,1,1,1,0,0,1,1,0,1,0,0,2,2,2,2,0,0,0,0,2,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2,15,1,1,1,1,0,1,1,1,1,4,4,4,4,4,4,
4-4-4-4-0-1-1-5

